Country,Code,Date,Vax_Rate,Index,Region,Income_group
Cote d'Ivoire,CIV,2021-04,0.55,37,Sub-Saharan Africa,Lower middle income
Sierra Leone,SLE,2021-04,0.73,172,Sub-Saharan Africa,Low income
San Marino,SMR,2021-04,85.18,174,Europe & Central Asia,High income
Gabon,GAB,2021-04,0.47,67,Sub-Saharan Africa,Upper middle income
Saudi Arabia,SAU,2021-04,26.44,167,Middle East & North Africa,High income
Fiji,FJI,2021-04,6.2,63,East Asia & Pacific,Upper middle income
Equatorial Guinea,GNQ,2021-04,5.21,75,Sub-Saharan Africa,Upper middle income
Serbia,SRB,2021-04,51.15,176,Europe & Central Asia,Upper middle income
Libya,LBY,2021-04,0.01,110,Middle East & North Africa,Upper middle income
Senegal,SEN,2021-04,2.39,169,Sub-Saharan Africa,Lower middle income
Belarus,BLR,2021-04,3.48,22,Europe & Central Asia,Upper middle income
Kenya,KEN,2021-04,1.36,100,Sub-Saharan Africa,Lower middle income
Ukraine,UKR,2021-04,1.73,202,Europe & Central Asia,Lower middle income
Andorra,AND,2021-04,34.15,4,Europe & Central Asia,High income
Vietnam,VNM,2021-04,0.52,210,East Asia & Pacific,Lower middle income
Democratic Republic of Congo,COD,2021-04,0,39,Sub-Saharan Africa,Low income
French Polynesia,PYF,2021-04,22.01,162,East Asia & Pacific,High income
Greenland,GRL,2021-04,24.86,78,Europe & Central Asia,High income
Iraq,IRQ,2021-04,0.72,92,Middle East & North Africa,Upper middle income
Nigeria,NGA,2021-04,0.56,142,Sub-Saharan Africa,Lower middle income
Cyprus,CYP,2021-04,26.37,48,Europe & Central Asia,High income
Bahamas,BHS,2021-04,5.52,20,Latin America & Caribbean,High income
South Sudan,SSD,2021-04,0.01,177,Sub-Saharan Africa,Low income
Jordan,JOR,2021-04,8.96,97,Middle East & North Africa,Upper middle income
Somalia,SOM,2021-04,0.72,175,Sub-Saharan Africa,Low income
Netherlands,NLD,2021-04,29.28,144,Europe & Central Asia,High income
Namibia,NAM,2021-04,0.84,139,Sub-Saharan Africa,Upper middle income
Palestine,PSE,2021-04,4.09,161,Middle East & North Africa,Lower middle income
Honduras,HND,2021-04,0.57,83,Latin America & Caribbean,Lower middle income
Botswana,BWA,2021-04,2.08,30,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,2021-04,21.14,140,East Asia & Pacific,High income
Togo,TGO,2021-04,1.18,189,Sub-Saharan Africa,Low income
Spain,ESP,2021-04,35.01,59,Europe & Central Asia,High income
Nicaragua,NIC,2021-04,2.02,143,Latin America & Caribbean,Lower middle income
Afghanistan,AFG,2021-04,0.6,1,South Asia,Low income
Paraguay,PRY,2021-04,1.87,160,Latin America & Caribbean,Upper middle income
Timor,TLS,2021-04,0.2,193,East Asia & Pacific,Lower middle income
Hungary,HUN,2021-04,61.99,86,Europe & Central Asia,High income
Iceland,ISL,2021-04,39.39,93,Europe & Central Asia,High income
Bahrain,BHR,2021-04,70.65,19,Middle East & North Africa,High income
Morocco,MAR,2021-04,24.94,120,Middle East & North Africa,Lower middle income
Tunisia,TUN,2021-04,3.12,196,Middle East & North Africa,Lower middle income
Kazakhstan,KAZ,2021-04,5.97,99,Europe & Central Asia,Upper middle income
Malawi,MWI,2021-04,1.48,137,Sub-Saharan Africa,Low income
Uzbekistan,UZB,2021-04,1.77,205,Europe & Central Asia,Lower middle income
Ghana,GHA,2021-04,2.67,70,Sub-Saharan Africa,Lower middle income
Papua New Guinea,PNG,2021-04,0.01,155,East Asia & Pacific,Lower middle income
Oman,OMN,2021-04,4.17,149,Middle East & North Africa,High income
Ethiopia,ETH,2021-04,0.95,61,Sub-Saharan Africa,Low income
Bhutan,BTN,2021-04,61.6,29,South Asia,Lower middle income
Pakistan,PAK,2021-04,0.58,150,South Asia,Lower middle income
Mauritania,MRT,2021-04,0.15,135,Sub-Saharan Africa,Lower middle income
Lesotho,LSO,2021-04,0.74,114,Sub-Saharan Africa,Lower middle income
Tonga,TON,2021-04,2.14,194,East Asia & Pacific,Upper middle income
Guinea,GIN,2021-04,1.05,72,Sub-Saharan Africa,Low income
Mexico,MEX,2021-04,13.88,125,Latin America & Caribbean,Upper middle income
Egypt,EGY,2021-04,0.63,57,Middle East & North Africa,Lower middle income
Finland,FIN,2021-04,30.95,62,Europe & Central Asia,High income
Sweden,SWE,2021-04,31.39,182,Europe & Central Asia,High income
Seychelles,SYC,2021-04,126.92,185,Sub-Saharan Africa,High income
Comoros,COM,2021-04,1.51,42,Sub-Saharan Africa,Lower middle income
Tuvalu,TUV,2021-04,20.13,198,East Asia & Pacific,Upper middle income
Bosnia and Herzegovina,BIH,2021-04,1.09,21,Europe & Central Asia,Upper middle income
Venezuela,VEN,2021-04,0.87,207,Latin America & Caribbean,
Rwanda,RWA,2021-04,2.64,166,Sub-Saharan Africa,Low income
Syria,SYR,2021-04,0.01,186,Middle East & North Africa,Low income
Uganda,UGA,2021-04,0.7,201,Sub-Saharan Africa,Low income
Belize,BLZ,2021-04,10.4,23,Latin America & Caribbean,Lower middle income
Antigua and Barbuda,ATG,2021-04,30.14,9,Latin America & Caribbean,High income
Kuwait,KWT,2021-04,23.1,106,Middle East & North Africa,High income
Monaco,MCO,2021-04,63.52,121,Europe & Central Asia,High income
Angola,AGO,2021-04,1.34,2,Sub-Saharan Africa,Lower middle income
Turks and Caicos Islands,TCA,2021-04,63.83,187,Latin America & Caribbean,High income
Cayman Islands,CYM,2021-04,98.79,47,Latin America & Caribbean,High income
Sudan,SDN,2021-04,0.31,168,Sub-Saharan Africa,Low income
United Arab Emirates,ARE,2021-05,128.23,5,Middle East & North Africa,High income
Nicaragua,NIC,2021-05,2.5,143,Latin America & Caribbean,Lower middle income
Romania,ROU,2021-05,40.78,164,Europe & Central Asia,Upper middle income
Israel,ISR,2021-05,114.45,94,Middle East & North Africa,High income
Isle of Man,IMN,2021-05,104.8,88,Europe & Central Asia,High income
Gambia,GMB,2021-05,1.17,73,Sub-Saharan Africa,Low income
Afghanistan,AFG,2021-05,1.49,1,South Asia,Low income
Ireland,IRL,2021-05,60.12,90,Europe & Central Asia,High income
Spain,ESP,2021-05,57.39,59,Europe & Central Asia,High income
Chile,CHL,2021-05,96.63,35,Latin America & Caribbean,High income
Croatia,HRV,2021-05,43.45,84,Europe & Central Asia,High income
South Korea,KOR,2021-05,15.06,105,East Asia & Pacific,High income
Qatar,QAT,2021-05,85.81,163,Middle East & North Africa,High income
Togo,TGO,2021-05,3.68,189,Sub-Saharan Africa,Low income
New Caledonia,NCL,2021-05,30.06,140,East Asia & Pacific,High income
Lebanon,LBN,2021-05,11.11,108,Middle East & North Africa,Upper middle income
Timor,TLS,2021-05,3.56,193,East Asia & Pacific,Lower middle income
United States,USA,2021-05,94.16,204,North America,High income
South Africa,ZAF,2021-05,1.62,215,Sub-Saharan Africa,Upper middle income
Laos,LAO,2021-05,10.17,107,East Asia & Pacific,Lower middle income
Taiwan,TWN,2021-05,1.31,199,East Asia & Pacific,High income
Bahamas,BHS,2021-05,13.87,20,Latin America & Caribbean,High income
Central African Republic,CAF,2021-05,0.01,31,Sub-Saharan Africa,Low income
Australia,AUS,2021-05,16.46,10,East Asia & Pacific,High income
South Sudan,SSD,2021-05,0.08,177,Sub-Saharan Africa,Low income
Norway,NOR,2021-05,49.51,145,Europe & Central Asia,High income
Kyrgyzstan,KGZ,2021-05,0.65,101,Europe & Central Asia,Lower middle income
Curacao,CUW,2021-05,93.31,46,Latin America & Caribbean,High income
Peru,PER,2021-05,12.74,152,Latin America & Caribbean,Upper middle income
Namibia,NAM,2021-05,2.96,139,Sub-Saharan Africa,Upper middle income
Jamaica,JAM,2021-05,5.54,96,Latin America & Caribbean,Upper middle income
Botswana,BWA,2021-05,5.96,30,Sub-Saharan Africa,Upper middle income
Bermuda,BMU,2021-05,114.53,24,North America,High income
Cuba,CUB,2021-05,18.01,45,Latin America & Caribbean,Upper middle income
Latvia,LVA,2021-05,40.26,117,Europe & Central Asia,High income
Panama,PAN,2021-05,21.9,151,Latin America & Caribbean,Upper middle income
Netherlands,NLD,2021-05,55.96,144,Europe & Central Asia,High income
Palestine,PSE,2021-05,10.36,161,Middle East & North Africa,Lower middle income
Paraguay,PRY,2021-05,5.8,160,Latin America & Caribbean,Upper middle income
Somalia,SOM,2021-05,0.82,175,Sub-Saharan Africa,Low income
Denmark,DNK,2021-05,57.93,53,Europe & Central Asia,High income
Sint Maarten (Dutch part),SXM,2021-05,62.84,184,Latin America & Caribbean,High income
Cameroon,CMR,2021-05,0.24,38,Sub-Saharan Africa,Lower middle income
Dominica,DMA,2021-05,51.38,52,Latin America & Caribbean,Upper middle income
Malta,MLT,2021-05,99.92,129,Middle East & North Africa,High income
Portugal,PRT,2021-05,56.62,159,Europe & Central Asia,High income
El Salvador,SLV,2021-05,29.54,173,Latin America & Caribbean,Lower middle income
Cape Verde,CPV,2021-05,4.28,43,Sub-Saharan Africa,Lower middle income
Kenya,KEN,2021-05,1.76,100,Sub-Saharan Africa,Lower middle income
Canada,CAN,2021-05,62.14,32,North America,High income
Albania,ALB,2021-05,26.88,3,Europe & Central Asia,Upper middle income
Equatorial Guinea,GNQ,2021-05,15.48,75,Sub-Saharan Africa,Upper middle income
Dominican Republic,DOM,2021-05,39.36,54,Latin America & Caribbean,Upper middle income
Fiji,FJI,2021-05,12.17,63,East Asia & Pacific,Upper middle income
Ecuador,ECU,2021-05,16.19,56,Latin America & Caribbean,Upper middle income
Samoa,WSM,2021-05,14.21,212,East Asia & Pacific,Lower middle income
Gabon,GAB,2021-05,0.99,67,Sub-Saharan Africa,Upper middle income
Nauru,NRU,2021-05,67.98,147,East Asia & Pacific,High income
Estonia,EST,2021-05,53.29,60,Europe & Central Asia,High income
Eswatini,SWZ,2021-05,3,183,Sub-Saharan Africa,Lower middle income
Barbados,BRB,2021-05,48.24,27,Latin America & Caribbean,High income
Colombia,COL,2021-05,19.69,41,Latin America & Caribbean,Upper middle income
Austria,AUT,2021-05,52.32,11,Europe & Central Asia,High income
Japan,JPN,2021-05,13.22,98,East Asia & Pacific,High income
Tajikistan,TJK,2021-05,0.76,191,Europe & Central Asia,Lower middle income
Benin,BEN,2021-05,0.1,15,Sub-Saharan Africa,Lower middle income
Zambia,ZMB,2021-05,0.78,216,Sub-Saharan Africa,Lower middle income
Bhutan,BTN,2021-05,61.89,29,South Asia,Lower middle income
United Kingdom,GBR,2021-05,95.19,68,Europe & Central Asia,High income
Bolivia,BOL,2021-05,14.21,25,Latin America & Caribbean,Lower middle income
Ethiopia,ETH,2021-05,1.54,61,Sub-Saharan Africa,Low income
Poland,POL,2021-05,52.67,156,Europe & Central Asia,High income
Mexico,MEX,2021-05,23.4,125,Latin America & Caribbean,Upper middle income
China,CHN,2021-05,44.26,36,East Asia & Pacific,Upper middle income
Mongolia,MNG,2021-05,92.63,132,East Asia & Pacific,Lower middle income
Kazakhstan,KAZ,2021-05,16.69,99,Europe & Central Asia,Upper middle income
Czechia,CZE,2021-05,50.27,49,Europe & Central Asia,High income
Gibraltar,GIB,2021-05,229.23,71,Europe & Central Asia,High income
Solomon Islands,SLB,2021-05,0.49,171,East Asia & Pacific,Lower middle income
Italy,ITA,2021-05,58.7,95,Europe & Central Asia,High income
Hungary,HUN,2021-05,90.91,86,Europe & Central Asia,High income
Greece,GRC,2021-05,53.98,76,Europe & Central Asia,High income
Uruguay,URY,2021-05,81.75,203,Latin America & Caribbean,High income
Tuvalu,TUV,2021-05,20.13,198,East Asia & Pacific,Upper middle income
Nepal,NPL,2021-05,9.44,146,South Asia,Lower middle income
Democratic Republic of Congo,COD,2021-05,0.03,39,Sub-Saharan Africa,Low income
Cote d'Ivoire,CIV,2021-05,2,37,Sub-Saharan Africa,Lower middle income
Sudan,SDN,2021-05,0.8,168,Sub-Saharan Africa,Low income
Russia,RUS,2021-05,19.5,165,Europe & Central Asia,Upper middle income
Suriname,SUR,2021-05,14.02,179,Latin America & Caribbean,Upper middle income
Rwanda,RWA,2021-05,2.64,166,Sub-Saharan Africa,Low income
Malaysia,MYS,2021-05,8.99,138,East Asia & Pacific,Upper middle income
Brazil,BRA,2021-05,31.72,26,Latin America & Caribbean,Upper middle income
Slovenia,SVN,2021-05,51.35,181,Europe & Central Asia,High income
Djibouti,DJI,2021-05,1.49,51,Middle East & North Africa,Lower middle income
Azerbaijan,AZE,2021-05,22.04,12,Europe & Central Asia,Upper middle income
Maldives,MDV,2021-05,87.62,124,South Asia,Upper middle income
Uganda,UGA,2021-05,1.37,201,Sub-Saharan Africa,Low income
Mali,MLI,2021-05,0.53,128,Sub-Saharan Africa,Low income
Hong Kong,HKG,2021-05,31.78,82,East Asia & Pacific,High income
Vietnam,VNM,2021-05,1.05,210,East Asia & Pacific,Lower middle income
Yemen,YEM,2021-05,0.34,214,Middle East & North Africa,Low income
Trinidad and Tobago,TTO,2021-05,6.83,195,Latin America & Caribbean,High income
Venezuela,VEN,2021-05,1.1,207,Latin America & Caribbean,
France,FRA,2021-05,55.5,64,Europe & Central Asia,High income
Mauritania,MRT,2021-05,0.78,135,Sub-Saharan Africa,Lower middle income
Sweden,SWE,2021-05,53.33,182,Europe & Central Asia,High income
Georgia,GEO,2021-05,3.49,69,Europe & Central Asia,Upper middle income
Sierra Leone,SLE,2021-05,0.98,172,Sub-Saharan Africa,Low income
San Marino,SMR,2021-05,125.05,174,Europe & Central Asia,High income
Turkey,TUR,2021-05,34.05,197,Europe & Central Asia,Upper middle income
Kuwait,KWT,2021-05,33.27,106,Middle East & North Africa,High income
Angola,AGO,2021-05,2.68,2,Sub-Saharan Africa,Lower middle income
Germany,DEU,2021-05,60.67,50,Europe & Central Asia,High income
Cambodia,KHM,2021-05,26.72,102,East Asia & Pacific,Lower middle income
Libya,LBY,2021-05,1.53,110,Middle East & North Africa,Upper middle income
Bulgaria,BGR,2021-05,19.62,18,Europe & Central Asia,Upper middle income
Senegal,SEN,2021-05,3.04,169,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,ATG,2021-05,50.98,9,Latin America & Caribbean,High income
Macao,MAC,2021-05,26.34,118,East Asia & Pacific,High income
Belarus,BLR,2021-05,8.44,22,Europe & Central Asia,Upper middle income
Andorra,AND,2021-05,46.43,4,Europe & Central Asia,High income
Serbia,SRB,2021-05,64.58,176,Europe & Central Asia,Upper middle income
Philippines,PHL,2021-05,4.38,153,East Asia & Pacific,Lower middle income
Zimbabwe,ZWE,2021-05,6.71,217,Sub-Saharan Africa,Lower middle income
North Macedonia,MKD,2021-05,15.16,127,Europe & Central Asia,Upper middle income
Armenia,ARM,2021-05,0.89,7,Europe & Central Asia,Upper middle income
Ghana,GHA,2021-05,3.87,70,Sub-Saharan Africa,Lower middle income
Thailand,THA,2021-05,5.24,190,East Asia & Pacific,Upper middle income
Myanmar,MMR,2021-05,5.46,130,East Asia & Pacific,Lower middle income
Oman,OMN,2021-05,5.68,149,Middle East & North Africa,High income
Grenada,GRD,2021-05,22.6,77,Latin America & Caribbean,Upper middle income
Pakistan,PAK,2021-05,2.72,150,South Asia,Lower middle income
Lithuania,LTU,2021-05,59.33,115,Europe & Central Asia,High income
New Zealand,NZL,2021-05,12.72,148,East Asia & Pacific,High income
Tonga,TON,2021-05,2.14,194,East Asia & Pacific,Upper middle income
India,IND,2021-05,14.98,89,South Asia,Lower middle income
Egypt,EGY,2021-05,2.48,57,Middle East & North Africa,Lower middle income
Liechtenstein,LIE,2021-05,57.1,112,Europe & Central Asia,High income
Argentina,ARG,2021-05,27.88,6,Latin America & Caribbean,Upper middle income
Guinea,GIN,2021-05,2.61,72,Sub-Saharan Africa,Low income
Switzerland,CHE,2021-05,57.54,33,Europe & Central Asia,High income
Iceland,ISL,2021-05,66.14,93,Europe & Central Asia,High income
Guatemala,GTM,2021-05,2.82,79,Latin America & Caribbean,Upper middle income
Uzbekistan,UZB,2021-05,4.72,205,Europe & Central Asia,Lower middle income
Liberia,LBR,2021-05,1.08,109,Sub-Saharan Africa,Low income
Luxembourg,LUX,2021-05,55.32,116,Europe & Central Asia,High income
Comoros,COM,2021-05,9.44,42,Sub-Saharan Africa,Lower middle income
Saint Vincent and the Grenadines,VCT,2021-05,17.49,206,Latin America & Caribbean,Upper middle income
Niger,NER,2021-05,0.63,141,Sub-Saharan Africa,Low income
Guyana,GUY,2021-05,31.08,81,Latin America & Caribbean,Upper middle income
Montenegro,MNE,2021-05,33.55,131,Europe & Central Asia,Upper middle income
Brunei,BRN,2021-05,11.19,28,East Asia & Pacific,High income
Belize,BLZ,2021-05,18.58,23,Latin America & Caribbean,Lower middle income
Iraq,IRQ,2021-05,1.41,92,Middle East & North Africa,Upper middle income
Congo,COG,2021-05,0.68,40,Sub-Saharan Africa,Lower middle income
British Virgin Islands,VGB,2021-05,49.41,208,Latin America & Caribbean,High income
Nigeria,NGA,2021-05,0.96,142,Sub-Saharan Africa,Lower middle income
Bahrain,BHR,2021-05,97.63,19,Middle East & North Africa,High income
Syria,SYR,2021-05,0.14,186,Middle East & North Africa,Low income
Morocco,MAR,2021-05,37.87,120,Middle East & North Africa,Lower middle income
Iran,IRN,2021-05,2.74,91,Middle East & North Africa,Lower middle income
Mozambique,MOZ,2021-05,1.23,134,Sub-Saharan Africa,Low income
Tunisia,TUN,2021-05,7.9,196,Middle East & North Africa,Lower middle income
Guinea-Bissau,GNB,2021-05,0.29,74,Sub-Saharan Africa,Low income
Slovakia,SVK,2021-05,51.61,180,Europe & Central Asia,High income
Costa Rica,CRI,2021-05,28.37,44,Latin America & Caribbean,Upper middle income
Saint Lucia,LCA,2021-05,25.26,111,Latin America & Caribbean,Upper middle income
Finland,FIN,2021-05,53.43,62,Europe & Central Asia,High income
Belgium,BEL,2021-05,58.38,14,Europe & Central Asia,High income
Mauritius,MUS,2021-05,31.47,136,Sub-Saharan Africa,Upper middle income
Greenland,GRL,2021-05,39.35,78,Europe & Central Asia,High income
Indonesia,IDN,2021-05,9.73,87,East Asia & Pacific,Lower middle income
French Polynesia,PYF,2021-05,33.82,162,East Asia & Pacific,High income
Cayman Islands,CYM,2021-05,120.48,47,Latin America & Caribbean,High income
Faeroe Islands,FRO,2021-05,66.44,65,Europe & Central Asia,High income
Malawi,MWI,2021-05,1.81,137,Sub-Saharan Africa,Low income
Sri Lanka,LKA,2021-05,8.71,113,South Asia,Lower middle income
Saudi Arabia,SAU,2021-05,39.74,167,Middle East & North Africa,High income
Seychelles,SYC,2021-05,133.62,185,Sub-Saharan Africa,High income
Ukraine,UKR,2021-05,2.64,202,Europe & Central Asia,Lower middle income
Sao Tome and Principe,STP,2021-05,8.46,178,Sub-Saharan Africa,Lower middle income
Saint Kitts and Nevis,KNA,2021-05,47.34,104,Latin America & Caribbean,High income
Jordan,JOR,2021-05,18.54,97,Middle East & North Africa,Upper middle income
Cyprus,CYP,2021-05,66.51,48,Europe & Central Asia,High income
Monaco,MCO,2021-05,75.98,121,Europe & Central Asia,High income
Turks and Caicos Islands,TCA,2021-05,78.42,187,Latin America & Caribbean,High income
Singapore,SGP,2021-05,72.12,170,East Asia & Pacific,High income
Bangladesh,BGD,2021-05,6,17,South Asia,Lower middle income
Moldova,MDA,2021-05,10.11,122,Europe & Central Asia,Upper middle income
Madagascar,MDG,2021-05,0.08,123,Sub-Saharan Africa,Low income
Honduras,HND,2021-05,3.15,83,Latin America & Caribbean,Lower middle income
Papua New Guinea,PNG,2021-05,0.1,155,East Asia & Pacific,Lower middle income
Bosnia and Herzegovina,BIH,2021-05,7.25,21,Europe & Central Asia,Upper middle income
Lesotho,LSO,2021-05,1.7,114,Sub-Saharan Africa,Lower middle income
Vietnam,VNM,2021-06,3.66,210,East Asia & Pacific,Lower middle income
Germany,DEU,2021-06,89.02,50,Europe & Central Asia,High income
South Korea,KOR,2021-06,38.02,105,East Asia & Pacific,High income
Cote d'Ivoire,CIV,2021-06,2.8,37,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,2021-06,2.5,143,Latin America & Caribbean,Lower middle income
Serbia,SRB,2021-06,73.79,176,Europe & Central Asia,Upper middle income
Yemen,YEM,2021-06,0.82,214,Middle East & North Africa,Low income
Saudi Arabia,SAU,2021-06,50.6,167,Middle East & North Africa,High income
Nepal,NPL,2021-06,11.3,146,South Asia,Lower middle income
Libya,LBY,2021-06,5.45,110,Middle East & North Africa,Upper middle income
Afghanistan,AFG,2021-06,2.1,1,South Asia,Low income
Ukraine,UKR,2021-06,5.94,202,Europe & Central Asia,Lower middle income
Senegal,SEN,2021-06,3.68,169,Sub-Saharan Africa,Lower middle income
Macao,MAC,2021-06,50.9,118,East Asia & Pacific,High income
Andorra,AND,2021-06,88.33,4,Europe & Central Asia,High income
Belarus,BLR,2021-06,11.37,22,Europe & Central Asia,Upper middle income
Gambia,GMB,2021-06,1.73,73,Sub-Saharan Africa,Low income
Qatar,QAT,2021-06,107.32,163,Middle East & North Africa,High income
Democratic Republic of Congo,COD,2021-06,0.06,39,Sub-Saharan Africa,Low income
Papua New Guinea,PNG,2021-06,0.54,155,East Asia & Pacific,Lower middle income
Bulgaria,BGR,2021-06,25.54,18,Europe & Central Asia,Upper middle income
Burkina Faso,BFA,2021-06,0.12,16,Sub-Saharan Africa,Low income
Finland,FIN,2021-06,76.01,62,Europe & Central Asia,High income
Palestine,PSE,2021-06,16.4,161,Middle East & North Africa,Lower middle income
Hong Kong,HKG,2021-06,48.58,82,East Asia & Pacific,High income
Ethiopia,ETH,2021-06,1.71,61,Sub-Saharan Africa,Low income
Uganda,UGA,2021-06,1.83,201,Sub-Saharan Africa,Low income
Rwanda,RWA,2021-06,4.36,166,Sub-Saharan Africa,Low income
Brazil,BRA,2021-06,47.28,26,Latin America & Caribbean,Upper middle income
Sudan,SDN,2021-06,1.51,168,Sub-Saharan Africa,Low income
Bosnia and Herzegovina,BIH,2021-06,14.02,21,Europe & Central Asia,Upper middle income
Tuvalu,TUV,2021-06,20.13,198,East Asia & Pacific,Upper middle income
Bhutan,BTN,2021-06,62.08,29,South Asia,Lower middle income
Trinidad and Tobago,TTO,2021-06,21.56,195,Latin America & Caribbean,High income
Venezuela,VEN,2021-06,5.11,207,Latin America & Caribbean,
Zambia,ZMB,2021-06,0.81,216,Sub-Saharan Africa,Lower middle income
Jordan,JOR,2021-06,38.05,97,Middle East & North Africa,Upper middle income
San Marino,SMR,2021-06,130.89,174,Europe & Central Asia,High income
Antigua and Barbuda,ATG,2021-06,64.82,9,Latin America & Caribbean,High income
Paraguay,PRY,2021-06,12.7,160,Latin America & Caribbean,Upper middle income
Chad,TCD,2021-06,0.05,188,Sub-Saharan Africa,Low income
Cambodia,KHM,2021-06,42.79,102,East Asia & Pacific,Lower middle income
Kuwait,KWT,2021-06,33.27,106,Middle East & North Africa,High income
Turkey,TUR,2021-06,58.09,197,Europe & Central Asia,Upper middle income
Sweden,SWE,2021-06,79.72,182,Europe & Central Asia,High income
Austria,AUT,2021-06,77.88,11,Europe & Central Asia,High income
Cayman Islands,CYM,2021-06,140,47,Latin America & Caribbean,High income
Somalia,SOM,2021-06,1.27,175,Sub-Saharan Africa,Low income
Egypt,EGY,2021-06,4.08,57,Middle East & North Africa,Lower middle income
France,FRA,2021-06,81.83,64,Europe & Central Asia,High income
Sierra Leone,SLE,2021-06,1.2,172,Sub-Saharan Africa,Low income
Georgia,GEO,2021-06,6.48,69,Europe & Central Asia,Upper middle income
Singapore,SGP,2021-06,100.16,170,East Asia & Pacific,High income
Mauritania,MRT,2021-06,2.98,135,Sub-Saharan Africa,Lower middle income
Suriname,SUR,2021-06,33.15,179,Latin America & Caribbean,Upper middle income
Russia,RUS,2021-06,26.95,165,Europe & Central Asia,Upper middle income
Saint Lucia,LCA,2021-06,28.62,111,Latin America & Caribbean,Upper middle income
Peru,PER,2021-06,23.33,152,Latin America & Caribbean,Upper middle income
Morocco,MAR,2021-06,50.51,120,Middle East & North Africa,Lower middle income
Mozambique,MOZ,2021-06,1.23,134,Sub-Saharan Africa,Low income
Netherlands,NLD,2021-06,80.76,144,Europe & Central Asia,High income
Tunisia,TUN,2021-06,15.26,196,Middle East & North Africa,Lower middle income
Uzbekistan,UZB,2021-06,6.3,205,Europe & Central Asia,Lower middle income
Malawi,MWI,2021-06,2.18,137,Sub-Saharan Africa,Low income
